run_id,algorithm,graph,status,n_clusters,noise_pct,max_cluster_pct,median_cluster_size,silhouette,silhouette_lo,silhouette_hi,davies_bouldin,calinski_harabasz,bb_join_ratio,bb_join_p,intra_inter_ratio,detection_rate,single_cluster_rate,tight_placement_rate,area_accuracy_rate,median_area_ratio,median_nearest_km,metrics_runtime_s
louvain__knn_10__resolution0p25,louvain,knn_10,cached,197,0.0,2.114,59.0,0.23758472169836858,0.23227494668869547,0.24675053210918804,0.9395205874148728,20961.95755672272,0.9683505782105903,0.0,0.05717140245847432,100.0,65.0,20.0,75.0,0.79,5.98,32.5
louvain__knn_10__resolution0p5,louvain,knn_10,cached,61,0.0,4.131,212.0,0.2233731322208213,0.21708377628718403,0.23051461902099563,0.9892177334583658,19750.336150537183,0.9904049264258351,0.0,0.10328972033119438,100.0,95.0,5.0,35.0,3.6,16.48,41.12
louvain__knn_10__resolution1p0,louvain,knn_10,cached,57,0.0,3.432,220.0,0.2810515409460538,0.2745840682198224,0.28627087415163494,1.005192044130256,24364.40226210039,0.9937345601661237,0.0,0.09477010428830816,100.0,100.0,15.0,40.0,3.6,14.28,40.99
louvain__knn_10__resolution2p0,louvain,knn_10,cached,85,0.0,2.925,141.0,0.2685138185340303,0.2632923672291776,0.27488286816975366,1.0013084058902268,23490.96110141975,0.9902259138591529,0.0,0.07838894528377305,100.0,90.0,15.0,70.0,1.53,13.05,38.35
louvain__knn_10__resolution5p0,louvain,knn_10,cached,138,0.0,2.092,100.0,0.2808005247727657,0.2741271451694108,0.2848115797000953,0.960743829997453,26848.31911324011,0.9821703483584547,0.0,0.05643317525678609,100.0,85.0,30.0,70.0,1.44,8.72,34.69
spectral__prox_10000m__n_clusters100,spectral,prox_10000m,ok,100,0.0,63.466,16.0,-0.3809298471532925,-0.39680090088419556,-0.35908706635852417,1.6111497655135907,90.18405891737075,0.9979592567398231,0.0,0.9359345444467152,100.0,95.0,15.0,30.0,22.54,34.75,63.79
spectral__prox_10000m__n_clusters150,spectral,prox_10000m,ok,150,0.0,38.998,21.0,-0.26708437765325,-0.286624588571846,-0.2484108701572995,1.9242894659515097,86.04161233286347,0.9935555475994415,0.0,0.9668489467675963,100.0,95.0,25.0,50.0,2.98,21.33,52.73
spectral__prox_10000m__n_clusters200,spectral,prox_10000m,ok,200,0.0,46.628,20.5,-0.18072039394878753,-0.19848327064148996,-0.1681906608444661,1.2110267346548758,93.52439945448316,0.9896530736457699,0.0,0.8855354489151411,100.0,95.0,25.0,50.0,3.35,18.68,52.91
spectral__prox_10000m__n_clusters250,spectral,prox_10000m,ok,250,0.0,48.295,19.5,-0.1910694155006843,-0.20754787472468028,-0.18202582766737788,1.6466585117562644,79.0125369325599,0.984569116751996,0.0,0.8261619392362191,100.0,95.0,25.0,50.0,4.01,17.08,51.96
spectral__prox_10000m__n_clusters300,spectral,prox_10000m,ok,300,0.0,17.404,21.0,0.18491060719484648,0.17869068863285015,0.18979147435633476,0.9573983819250077,402.32968515395606,0.98030861766496,0.0,0.5703245469129073,100.0,90.0,45.0,80.0,1.44,6.54,37.4
spectral__knn_10__n_clusters100,spectral,knn_10,ok,100,0.0,2.59,120.0,0.25489686990990934,0.24738348765245083,0.2629631876319359,1.4473592966998632,3999.901802140157,0.9759049085245785,0.0,0.1126507333720365,100.0,85.0,15.0,45.0,2.81,12.42,36.71
spectral__knn_10__n_clusters150,spectral,knn_10,ok,150,0.0,2.97,85.0,0.27701517449400825,0.2714406790496701,0.28373084787186337,1.4867185876249152,2332.5263484430297,0.972181447137589,0.0,0.14948742088012046,100.0,85.0,25.0,60.0,1.77,8.8,33.13
spectral__knn_10__n_clusters200,spectral,knn_10,ok,200,0.0,1.31,65.0,0.3001792277135106,0.294871968403032,0.3053802824799652,1.1892517463562504,3895.3475418107623,0.9650209444703018,0.0,0.07626843460299725,100.0,70.0,20.0,65.0,1.05,7.85,31.07
spectral__knn_10__n_clusters250,spectral,knn_10,ok,250,0.0,1.69,51.0,0.31081181558268134,0.2994789648118077,0.31922631175670446,1.2828439924349138,2606.0645781975895,0.9586838996097526,0.0,0.09979082745569733,100.0,70.0,45.0,65.0,0.9,5.31,29.45
spectral__knn_10__n_clusters300,spectral,knn_10,ok,300,0.0,1.831,41.5,0.32097176134057387,0.30834987171232403,0.327682183639805,1.1493707193203249,2229.9716016861803,0.9513443843757832,0.0,0.12609848941690147,100.0,60.0,35.0,60.0,0.79,5.97,28.45
